Name,Lat,Lon,tp_probb,tp_probn,tp_proba
ERICA (PHILIPS BRIDGE),-37.997,146.348,31.8574600219727,34.1110649108887,34.0314750671387
ERINAIR,-33.761,121.216,31.8474292755127,33.0138282775879,35.138744354248
ERNABELLA (PUKATJA),-26.264,132.177,31.3263454437256,31.3749771118164,37.2986755371094
EROMANGA - WEBBER ST,-26.669,143.27,29.1918621063232,34.3014068603516,36.5067291259766
ESPERANCE,-33.83,121.893,32.277702331543,32.641975402832,35.080322265625
ESPERANCE DOWNS RESEARCH STN,-33.603,121.783,32.277702331543,32.641975402832,35.080322265625
ETON VALE,-20.214,147.776,30.0039463043213,33.6197166442871,36.3763389587402
EUCLA,-31.68,128.879,31.726806640625,31.9726123809814,36.3005790710449
EUDUNDA,-34.175,139.085,30.9613094329834,34.2044410705566,34.8342514038086
EUDUNDA (MOONDAH),-34.257,139.092,30.9613094329834,34.2044410705566,34.8342514038086
EUGOWRA POST OFFICE,-33.428,148.372,26.6953620910645,32.0119171142578,41.2927207946777
EUMUNDI - CRESCENT RD,-26.477,152.945,33.2023010253906,32.4151916503906,34.3825035095215
EUMUNGERIE POST OFFICE,-31.948,148.62,29.619930267334,30.9357166290283,39.4443550109863
EURARDY,-27.566,114.673,21.8355560302734,31.9244728088379,46.2399711608887
EUROA,-36.754,145.573,30.9468517303467,33.917839050293,35.1353073120117
EUROBIN,-36.635,146.863,29.9807891845703,34.3145942687988,35.7046165466309
EUSTON (SUNNYSIDE),-34.559,143.075,31.0245933532715,34.4467163085938,34.5286903381348
EVANS HEAD RAAF BOMBING RANGE AWS,-29.183,153.396,31.6598644256592,34.32568359375,34.0144500732422
EVELYN STATE FOREST,-17.535,145.482,28.7867984771729,32.4314041137695,38.7817993164062
EVERSLEIGH,-21.712,144.393,32.3321571350098,31.7741680145264,35.8936729431152
EXMOUTH GULF,-22.376,114.111,21.9374332427979,32.5143852233887,45.5481834411621
EXMOUTH TOWN,-21.931,114.125,23.4100227355957,32.8147239685059,43.7752494812012
FAIRLEIGH,-28.328,151.845,29.904541015625,33.3644332885742,36.7310256958008
FAIRLIGHT STATION,-35.227,148.914,32.8715934753418,31.3060531616211,35.8223533630371
FAIRYMEAD SUGAR MILL,-24.791,152.359,32.1522407531738,33.6335754394531,34.2141799926758
FALLS CREEK,-36.871,147.276,29.9807891845703,34.3145942687988,35.7046165466309
FALLS CREEK (ROCKY VALLEY),-36.876,147.289,29.9807891845703,34.3145942687988,35.7046165466309
FARRELL FLAT,-33.832,138.792,30.6083793640137,34.3498992919922,35.0417213439941
FERGUSON VALLEY,-33.445,115.851,33.045654296875,34.4276580810547,32.5266876220703
FERNDALE,-24.196,151.422,29.1706314086914,34.5359344482422,36.2934341430664
FERNFLAT,-26.676,150.879,30.2062911987305,33.765453338623,36.0282554626465
FINGAL (LEGGE STREET),-41.644,147.965,33.1471099853516,33.5159568786621,33.3369369506836
FINLEY POST OFFICE,-35.641,145.576,29.3487930297852,34.2098960876465,36.4413146972656
FINSBURY PARK,-26.209,149.089,27.5261764526367,33.9153747558594,38.5584487915039
FISH CREEK,-38.72,146.063,32.4148979187012,33.5308876037598,34.0542144775391
FITZROY CROSSING AERO,-18.181,125.562,34.9212837219238,31.6065216064453,33.4721946716309
FLINDERS CHASE (ROCKY RIVER),-35.951,136.739,32.8391532897949,32.1633605957031,34.997486114502
FLINDERS ISLAND AIRPORT,-40.093,148.001,33.1609497070312,32.8310127258301,34.0080375671387
FORBES AIRPORT AWS,-33.363,147.921,26.6953620910645,32.0119171142578,41.2927207946777
FORBES RIVER (BIRDWOOD),-31.294,152.312,31.4927921295166,33.362907409668,35.1442985534668
FOREST GROVE,-34.072,115.099,31.0263576507568,33.5870666503906,35.3865776062012
FORREST,-30.845,128.109,26.2846717834473,31.3964824676514,42.3188438415527
FORRESTDALE,-32.157,115.928,31.3476238250732,34.5436134338379,34.1087646484375
FORSTER - TUNCURRY R.V.C.P.,-32.176,152.509,31.9358863830566,33.8566970825195,34.2074165344238
FORT HILL,-31.727,118.293,24.7639122009277,30.5539207458496,44.6821670532227
FORTHSIDE RESEARCH STATION,-41.204,146.265,32.9836730957031,34.2250900268555,32.7912368774414
FOSTER (POST OFFICE),-38.652,146.2,32.4148979187012,33.5308876037598,34.0542144775391
FRANCES,-36.713,140.955,33.3319892883301,31.709545135498,34.9584655761719
FRANKFIELD STATION,-22.272,147.09,29.7288055419922,31.1654090881348,39.105785369873
FRANKLAND VINEYARDS,-34.442,116.994,29.1017875671387,34.3998870849609,36.4983291625977
FRASER RANGE,-32.034,122.802,24.0409126281738,34.7336959838867,41.2253913879395
FRIENDLY BEACHES,-41.995,148.279,33.1471099853516,33.5159568786621,33.3369369506836
FURNER (KENNION SECTION 235),-37.38,140.329,33.8923187255859,32.1128730773926,33.9948081970215
GABO ISLAND LIGHTHOUSE,-37.568,149.916,30.4071197509766,32.4192199707031,37.1736602783203
GAIRDNER,-34.169,118.944,31.7983436584473,32.9268760681152,35.2747802734375
GAIRLOCH,-18.616,146.181,32.7443580627441,33.5686950683594,33.6869468688965
GALGA,-34.696,139.96,31.3751449584961,33.6206817626953,35.0041732788086
GAMA,-35.557,142.543,32.5095329284668,31.7816009521484,35.7088661193848
GAMMON RANGES (MOOLAWATANA),-29.906,139.735,30.0370941162109,32.1607398986816,37.8021659851074
GAMMON RANGES (WOOLTANA),-30.413,139.42,29.9102001190186,32.2230644226074,37.8667373657227
GANMAIN (ROSEDALE),-34.85,146.978,24.449348449707,32.8747596740723,42.6758918762207
GARAH (DELVIN),-28.967,149.672,29.767707824707,31.7614803314209,38.4708137512207
GAREMA (ABERFOYLE),-33.595,148.144,26.6953620910645,32.0119171142578,41.2927207946777
GARRYOWEN (YALLOCK),-35.677,147.518,31.1770687103271,33.1073532104492,35.7155799865723
GASCOYNE JUNCTION,-25.054,115.21,19.6258964538574,30.2714653015137,50.1026382446289
GATTON VALE,-20.778,147.949,30.0039463043213,33.6197166442871,36.3763389587402
GATUM,-37.391,141.919,32.8670616149902,32.4074897766113,34.7254524230957
GEEVESTON (RIAWUNNA),-43.218,146.902,34.6072425842285,32.1731033325195,33.219654083252
GELANTIPY,-37.22,148.263,33.6546325683594,31.2593860626221,35.0859832763672
GELLIBRAND RIVER WEST,-38.62,143.276,33.1252174377441,33.3190002441406,33.5557823181152
GEORGE TOWN (SOUTH STREET),-41.121,146.828,33.2666893005371,34.9785614013672,31.7547492980957
GEORGETOWN,-33.359,138.393,29.5622119903564,33.5639190673828,36.8738670349121
